url,category_name,category_group,category_description,is_primary,region,language
"https://en.wikipedia.org/wiki/List_of_WTA_number_1_ranked_players","WTA Tennis Champion","Sports & Athletics","WTA World Number 1 tennis players",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_Olympic_medalists_in_athletics_(men)","Olympic Athletics Medalist","Sports & Athletics","Olympic medalists in athletics (men)",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_Olympic_medalists_in_athletics_(women)","Olympic Athletics Medalist","Sports & Athletics","Olympic medalists in athletics (women)",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_Olympic_medalists_in_swimming_(men)","Olympic Swimming Medalist","Sports & Athletics","Olympic medalists in swimming (men)",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_Olympic_medalists_in_swimming_(women)","Olympic Swimming Medalist","Sports & Athletics","Olympic medalists in swimming (women)",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_Formula_One_drivers","Formula One Driver","Sports & Athletics","Formula One racing drivers",true,"Global","English"
"https://en.wikipedia.org/wiki/List_of_Major_League_Baseball_players","MLB Baseball Player","Sports & Athletics","Major League Baseball players",true,"USA","English"
"https://en.wikipedia.org/wiki/List_of_NFL_players","NFL Football Player","Sports & Athletics","National Football League players",true,"USA","English"
"https://en.wikipedia.org/wiki/List_of_computer_scientists","Computer Scientist","Technology & Innovation","Notable computer scientists",true,"Global","English"
"https://en.wikipedia.org/wiki/List_of_Internet_entrepreneurs","Tech Entrepreneur","Technology & Innovation","Internet and technology entrepreneurs",true,"Global","English"
"https://en.wikipedia.org/wiki/List_of_programmers","Software Programmer","Technology & Innovation","Notable software programmers",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_pioneers_in_computer_science","Computer Science Pioneer","Technology & Innovation","Pioneers in computer science",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_artificial_intelligence_researchers","AI Researcher","Technology & Innovation","Artificial intelligence researchers",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_Nobel_Prize_laureates","Nobel Prize Winner","Science & Achievement","Nobel Prize laureates across all categories",true,"Global","English"
"https://en.wikipedia.org/wiki/List_of_Nobel_Prize_laureates_in_Physics","Nobel Physics Laureate","Science & Achievement","Nobel Prize winners in Physics",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_Nobel_Prize_laureates_in_Chemistry","Nobel Chemistry Laureate","Science & Achievement","Nobel Prize winners in Chemistry",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_Nobel_Prize_laureates_in_Physiology_or_Medicine","Nobel Medicine Laureate","Science & Achievement","Nobel Prize winners in Medicine",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_Nobel_Peace_Prize_laureates","Nobel Peace Prize Winner","Science & Achievement","Nobel Peace Prize winners",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_Nobel_Prize_laureates_in_Literature","Nobel Literature Laureate","Science & Achievement","Nobel Prize winners in Literature",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_scientists","Notable Scientist","Science & Achievement","Notable scientists across all fields",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_physicists","Physicist","Science & Achievement","Notable physicists",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_chemists","Chemist","Science & Achievement","Notable chemists",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_biologists","Biologist","Science & Achievement","Notable biologists",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_mathematicians","Mathematician","Science & Achievement","Notable mathematicians",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_inventors","Inventor","Science & Achievement","Notable inventors",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_astronauts","Astronaut","Science & Achievement","Space travelers and astronauts",true,"Global","English"
"https://en.wikipedia.org/wiki/List_of_American_writers","American Writer","Literature & Arts","American authors and writers",true,"USA","English"
"https://en.wikipedia.org/wiki/List_of_British_writers","British Writer","Literature & Arts","British authors and writers",true,"UK","English"
"https://en.wikipedia.org/wiki/List_of_Indian_writers","Indian Writer","Literature & Arts","Indian authors and writers",true,"India","English"
"https://en.wikipedia.org/wiki/List_of_poets","Poet","Literature & Arts","Notable poets",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_novelists","Novelist","Literature & Arts","Notable novelists",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_journalists","Journalist","Media & Communications","Notable journalists",true,"Global","English"
"https://en.wikipedia.org/wiki/List_of_news_anchors","News Anchor","Media & Communications","Television news anchors",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_talk_show_hosts","Talk Show Host","Media & Communications","Television talk show hosts",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_billionaires","Billionaire","Business & Finance","World's billionaires",true,"Global","English"
"https://en.wikipedia.org/wiki/List_of_richest_Americans","Wealthy American","Business & Finance","Richest Americans",false,"USA","English"
"https://en.wikipedia.org/wiki/List_of_business_magnates","Business Magnate","Business & Finance","Notable business leaders",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_CEOs","Chief Executive Officer","Business & Finance","Notable CEOs",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_economists","Economist","Business & Finance","Notable economists",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_civil_rights_leaders","Civil Rights Leader","Social & Political","Civil rights activists and leaders",true,"Global","English"
"https://en.wikipedia.org/wiki/List_of_women%27s_rights_activists","Women's Rights Activist","Social & Political","Women's rights activists",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_environmental_activists","Environmental Activist","Social & Political","Environmental activists",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_philanthropists","Philanthropist","Social & Political","Notable philanthropists",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_fashion_designers","Fashion Designer","Arts & Design","Notable fashion designers",true,"Global","English"
"https://en.wikipedia.org/wiki/List_of_architects","Architect","Arts & Design","Notable architects",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_painters","Painter","Arts & Design","Notable painters",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_sculptors","Sculptor","Arts & Design","Notable sculptors",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_photographers","Photographer","Arts & Design","Notable photographers",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_chefs","Celebrity Chef","Culinary Arts","Notable chefs",true,"Global","English"
"https://en.wikipedia.org/wiki/List_of_restaurateurs","Restaurateur","Culinary Arts","Notable restaurateurs",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_YouTube_personalities","YouTube Personality","Digital Media","Notable YouTube content creators",true,"Global","English"
"https://en.wikipedia.org/wiki/List_of_social_media_influencers","Social Media Influencer","Digital Media","Notable social media influencers",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_podcasters","Podcaster","Digital Media","Notable podcasters",false,"Global","English"
"https://en.wikipedia.org/wiki/List_of_models","Fashion Model","Fashion & Beauty","Notable fashion models",true,"Global","English"
"https://en.wikipedia.org/wiki/List_of_beauty_pageant_titleholders","Beauty Pageant Winner","Fashion & Beauty","Beauty pageant titleholders",false,"Global","English"
